"H","B"
0,119617,0,753010789825993
3,3971292,20,2988425310655
6,6746414,45,7563608104418
9,9521536,73,1080614698796
13,2296658,102,267409566934
16,507178,132,329326192771
19,7846902,159,33735891519
23,0622024,184,680399322624
26,3397146,209,518084990362
29,6172268,230,689436000893
32,894739,252,037576396173
36,1722512,272,329331850602
39,4497634,289,156639069916
42,7272756,301,955657592806
46,0047878,311,347570981666
49,2823,318,524103719225
